# x0 y0 z0 v0x v0y v0z Cj E_SOI h_min_periluneo h_perigeo
9.771078460923465769e-01 -1.235684136626816025e-02 0.000000000000000000e+00 -1.827379454890592614e+00 -5.447830538998706951e-01 0.000000000000000000e+00 8.000000000000033751e-01 2.829707528348981982e-01 9.324110109175396701e+02 1.902164428311836673e+04
9.820725890955728232e-01 -7.666199016489378716e-03 0.000000000000000000e+00 -1.660578327839912438e+00 3.545613500974758026e-01 0.000000000000000000e+00 2.600000000000004974e+00 4.584332025296307400e-02 1.346834446045486629e+03 4.908734409615298500e+04
1.004470884822260990e+00 -1.845993530813213809e-02 0.000000000000000000e+00 9.234633475022304694e-01 4.217647371167443926e-01 0.000000000000000000e+00 2.900000000000005684e+00 3.095808519685463306e-02 5.038712058898141549e+03 3.687158098419834860e+05
1.003104084257040229e+00 -4.430257480065883519e-02 0.000000000000000000e+00 8.988170455224163691e-01 2.512197613153589471e-01 0.000000000000000000e+00 2.600000000000004974e+00 2.099496905053717388e-01 1.623508737037767060e+04 2.018413493457304430e+05
9.832026554681096986e-01 -6.395811347740517315e-03 0.000000000000000000e+00 1.922302781674634753e+00 1.738979700491480318e-01 0.000000000000000000e+00 2.300000000000004263e+00 7.390485341336502367e-01 1.229894076964098701e+02 5.265063685405333672e+03
1.031299786349962000e+00 -4.195946884217154754e-02 0.000000000000000000e+00 1.471454960972038872e+00 -1.092874574257008291e+00 0.000000000000000000e+00 2.664535259100375697e-15 7.028741731822922556e-02 9.660334418269076195e+02 1.061536014892466919e+05
9.842603909700780029e-01 -7.043992496990331489e-03 0.000000000000000000e+00 -2.193922811789723148e+00 -4.606140442071556262e-01 0.000000000000000000e+00 1.000000000000003553e+00 5.325919419839104663e-01 3.507543098445365217e+02 4.508339965564733575e+03
9.311999338805200255e-01 -4.753461695844995311e-02 0.000000000000000000e+00 -1.575469189236206491e+00 -6.384273780506590779e-01 0.000000000000000000e+00 4.000000000000030198e-01 7.552869542614926157e-02 4.677744870411757802e+03 1.758159553219955706e+04
1.052689218932770343e+00 -3.895964302092616571e-02 0.000000000000000000e+00 1.124200738706018443e+00 -1.457893765275190268e-01 0.000000000000000000e+00 2.000000000000004441e+00 6.200078266475136934e-02 9.500148055819208821e+03 3.837062122948149045e+04
9.265306442025612599e-01 -1.758289449052313075e-02 0.000000000000000000e+00 -1.146199748418052389e+00 1.741823839570063315e-01 0.000000000000000000e+00 2.000000000000004441e+00 4.111359059221174339e-02 5.065423793425788062e+03 8.869629415800014613e+03
9.951792712284274200e-01 -4.627845260598844462e-02 0.000000000000000000e+00 6.203152781134524396e-01 4.308462848240869336e-01 0.000000000000000000e+00 2.900000000000005684e+00 9.484860850140416910e-02 1.803071295507010632e+02 3.082166347270419938e+05
1.040676305655912293e+00 -6.761524780478676833e-02 0.000000000000000000e+00 3.201550046987901021e-01 3.754997043828299241e-01 0.000000000000000000e+00 3.000000000000005329e+00 6.032693533989151591e-02 1.382976318496269232e+04 1.288657374202360807e+05
1.086039379442982789e+00 -5.220849328111037274e-02 0.000000000000000000e+00 3.487925970374639029e-01 2.758489325894801780e-01 0.000000000000000000e+00 3.000000000000005329e+00 4.888117907122536271e-02 4.272369739669429691e+03 3.739903077943829703e+05
1.101127897201898076e+00 -4.808383344893793487e-02 0.000000000000000000e+00 3.549393557750186168e-01 2.435125427104309070e-01 0.000000000000000000e+00 3.000000000000005329e+00 4.258062390742947678e-02 8.734642824809037847e+03 3.986430485837446176e+05
9.846339637810027634e-01 -7.222177587482686394e-03 0.000000000000000000e+00 -1.887857771990446798e+00 2.478872866336754577e-01 0.000000000000000000e+00 2.400000000000004796e+00 2.553899014998418093e-01 1.083704101640605813e+03 8.351765330613605329e+04
9.397574248656930251e-01 -3.367442262329439079e-02 0.000000000000000000e+00 -1.396813290907877425e+00 -1.460388602568973848e-01 0.000000000000000000e+00 1.400000000000003908e+00 1.028648644315722227e-01 2.291624737558685865e+03 6.990948528959981559e+03
1.130745884193275153e+00 -6.065592303360117094e-02 0.000000000000000000e+00 3.676718210886775751e-01 1.728355888191133727e-01 0.000000000000000000e+00 3.000000000000005329e+00 4.507442982066031667e-02 1.052618786630817795e+03 1.805958686119414924e+05
9.240839567228705809e-01 -5.741473901928677293e-02 0.000000000000000000e+00 -1.593270088174850718e+00 -1.099197121256886067e+00 0.000000000000000000e+00 -4.999999999999977796e-01 7.105759600707796386e-02 8.364871679728473453e+01 2.584667906209594221e+05
1.081992586355065011e+00 -4.933830907582695789e-03 0.000000000000000000e+00 6.248948663716445973e-01 2.090444774132088901e-01 0.000000000000000000e+00 2.800000000000005151e+00 1.095999266711768574e-02 6.426483008775639064e+03 2.558545898278841632e+05
